"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"1","U,B,R","2","Norman Osborn","mythic","Creature","15.99","12.5","12.83","8.24","1.88","0.7446808510638298","5082"
"2","W,U,B","4","Y'shtola, Night's Blessed","mythic","Creature","0.99","1","1.06","2.76","2.35","0.9212598425196851","4791"
"3","B,R,G","4","Hearthhull, the Worldseed","mythic","Artifact","0.99","0.88","1.06","1.29","undefined","0.46153846153846156","3748"
"4","U,B,R","5","Kefka, Court Mage","mythic","Creature","7.99","7.79","8.55","5.46","0.03","1.223214285714286","3428"
"5","W,U,B,R,G","9","The Ur-Dragon","mythic","Creature","29.99","35","21.39","29.14","0.03","1.9667221297836939","3402"
"6","R,W,B","6","Edgar Markov","mythic","Creature","27.99","19.33","22.81","21.63","1.06","2.0457875457875456","3399"
"7","W,U,B,R,G","5","Cosmic Spider-Man","mythic","Creature","7.99","8.24","9.98","2.67","0.35","1.2282608695652169","3363"
"8","B,G,U","4","Teval, the Balanced Scale","mythic","Creature","5.99","7.23","6.41","4.68","undefined","0.6049382716049383","3316"
"9","U,R","3","Vivi Ornitier","mythic","Creature","39.99","35","39.21","28.87","4.46","2.807486631016043","3248"
"10","R,G,W","5","Cloud, Ex-SOLDIER","mythic","Creature","0.99","0.82","1.06","1.08","1.32","0.7021276595744682","2986"
"11","B","3","Sephiroth, Fabled SOLDIER","mythic","Creature","42.99","35.32","42.78","36.94","2.22","1.4278350515463911","2964"
"12","G,W,U","4","Ms. Bumbleflower","mythic","Creature","0.99","0.85","1.42","4.58","1","0.8064516129032258","2870"
"13","B,R,G","3","Eddie Brock","mythic","Creature","8.99","7.45","10.69","5.49","0.94","0.5523809523809524","2769"
"14","R,G,W","5","Pantlaza, Sun-Favored","mythic","Creature","0.99","0.75","1.06","1.67","0.3","0.8370786516853933","2704"
"15","R,W,B","4","Kaalia of the Vast","mythic","Creature","2.79","1.57","2.13","1.88","0.02","1.1871559633027513","2687"
"16","R","4","Krenko, Mob Boss","rare","Creature","1.29","1.04","1.06","0.68","0.02","1.1744505494505486","2659"
"17","G,W,U,B","4","Atraxa, Praetors' Voice","mythic","Creature","23.99","19.87","20.65","13.63","0.15","1.722789115646258","2639"
"18","W,U,B,R,G","5","Jodah, the Unifier","mythic","Creature","2.79","1.98","2.85","1.52","0.02","1.9393346379647758","2575"
"19","U,B,R","6","Sauron, the Dark Lord","mythic","Creature","9.99","7.4","9.98","7.9","0.02","1.1549815498154992","2568"
"20","U,B,R","5","Nekusar, the Mindrazer","rare","Creature","3.49","2.35","3.2","0.8","0.02","1.242063492063493","2551"
"21","W","5","Anti-Venom, Horrifying Healer","mythic","Creature","15.99","12.7","15.68","5.33","1.15","1.0099999999999998","2437"
"22","W,U,B","4","Jin Sakai, Ghost of Tsushima","mythic","Creature","undefined","undefined","undefined","undefined","undefined","0","2348"
"23","W","2","Giada, Font of Hope","rare","Creature","0.99","0.89","1.06","0.83","0.02","0.4598930481283423","2322"
"24","B,G,U","4","The Wise Mothman","mythic","Creature","0.99","0.82","1.06","8.57","undefined","1.0082644628099173","2249"
"25","B,G","4","Lathril, Blade of the Elves","rare","Creature","0.49","0.4","0.35","0.34","0.02","0.9107806691449815","2238"
"26","B,R","4","Valgavoth, Harrower of Souls","mythic","Creature","14.99","10.77","17.11","17.53","0.24","0.7624999999999998","2222"
"27","U,R,W","3","Kilo, Apogee Mind","mythic","Creature","0.99","1.37","1.06","1.11","undefined","0.39215686274509803","2199"
"28","U,B","3","Yuriko, the Tiger's Shadow","rare","Creature","2.79","1.65","2.85","1.69","1.83","2.1452420701168586","2154"
"29","R,W","2","Ragost, Deft Gastronaut","rare","Creature","0.49","0.54","0.53","0.11","0.02","0.34579439252336447","2110"
"30","G,W,U","3","Tidus, Yuna's Guardian","mythic","Creature","0.99","0.66","1.06","1.6","1.08","0.45360824742268024","2062"
"31","R,W,B","3","Terra, Herald of Hope","mythic","Creature","0.99","0.48","1.06","0.88","1.55","0.46808510638297873","1963"
"32","R,W,B","3","Isshin, Two Heavens as One","rare","Creature","4.99","3","4.27","3.94","0.02","0.6521739130434784","1958"
"33","W,B","2","Frodo, Adventurous Hobbit // Sam, Loyal Attendant","mythic","Creature","0.99","0.35","0.71","0.4","1.2","0.4155844155844156","1940"
"34","R,G,W","3","Baylen, the Haymaker","rare","Creature","1.29","0.77","1.42","0.59","0.02","0.9186991869918701","1932"
"35","B,G","3","Chatterfang, Squirrel General","mythic","Creature","4.49","2.49","4.98","4.81","0.02","0.9568965517241378","1922"
"36","W,U,B,R,G","5","Kenrith, the Returned King","mythic","Creature","0.99","1.07","1.06","0.77","0.02","1.0920000000000005","1890"
"37","B,G,U","6","Muldrotha, the Gravetide","mythic","Creature","3.49","3.5","3.2","2.69","0.02","0.903921568627451","1866"
"38","B,R","4","Kuja, Genome Sorcerer","rare","Creature","1.29","1.41","1.42","0.94","0.02","0.6771653543307085","1841"
"39","G,W,U","2","Peter Parker","mythic","Creature","8.99","8.05","9.98","4.67","1.44","0.6923076923076922","1841"
"40","G,U,R","6","Miirym, Sentinel Wyrm","rare","Creature","4.99","3.22","4.27","3.88","9.81","1.784844384303112","1836"
"41","R,G","3","Bello, Bard of the Brambles","mythic","Creature","1.49","1.32","1.42","6.81","2","0.6","1821"
"42","W,U,B,R,G","5","Ulalek, Fused Atrocity","mythic","Creature","0.99","0.57","1.06","0.43","0.03","1.320328542094455","1799"
