"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks"
"1","W,U,B,R,G","9","The Ur-Dragon","mythic","Creature","29.99","32.53","21.46","28.3","0.02","1.97","40296"
"2","R,W,B","6","Edgar Markov","mythic","Creature","27.99","20.0","20.74","20.08","1.06","2.05","38741"
"3","G,W,U,B","4","Atraxa, Praetors' Voice","mythic","Creature","22.99","20.0","20.74","12.76","0.12","1.72","37787"
"4","R","4","Krenko, Mob Boss","rare","Creature","0.99","1.0","1.07","0.71","0.02","1.17","32772"
"5","R,W,B","4","Kaalia of the Vast","mythic","Creature","2.49","1.5","1.42","1.85","0.02","1.19","30815"
"6","R,G,W","5","Pantlaza, Sun-Favored","mythic","Creature","0.99","0.7","1.07","2.21","0.33","0.84","29989"
"7","U,B,R","6","Sauron, the Dark Lord","mythic","Creature","9.99","7.37","10.01","7.4","0.02","1.15","29299"
"8","U,B","3","Yuriko, the Tiger's Shadow","rare","Creature","2.79","1.86","2.86","1.54","1.79","2.15","28871"
"9","B,G","4","Lathril, Blade of the Elves","rare","Creature","0.49","0.39","0.35","0.28","0.02","0.91","28136"
"10","W,U,B,R,G","5","Kenrith, the Returned King","mythic","Creature","1.29","1.05","1.07","0.79","0.02","1.09","26825"
"11","W","2","Giada, Font of Hope","rare","Creature","0.99","0.98","1.07","0.77","0.02","0.46","25971"
"12","W,U,B,R,G","5","Jodah, the Unifier","mythic","Creature","2.99","2.0","2.86","1.7","0.02","1.94","25753"
"13","G,U,R","6","Miirym, Sentinel Wyrm","rare","Creature","4.49","3.19","4.29","4.24","9.81","1.78","25632"
"14","B,G,U","4","The Wise Mothman","mythic","Creature","0.99","0.75","1.07","8.57","","1.01","25177"
"15","U,B,R","5","Nekusar, the Mindrazer","rare","Creature","3.49","2.1","3.21","0.77","0.03","1.24","24508"
"16","R,W,B","3","Isshin, Two Heavens as One","rare","Creature","4.99","3.29","4.29","3.69","0.02","0.65","24085"
"17","W,U,B","4","Y'shtola, Night's Blessed","mythic","Creature","0.99","0.97","1.07","2.89","2.23","0.92","23322"
"18","G,U","4","Hakbal of the Surging Soul","mythic","Creature","0.99","0.35","1.07","0.61","","0.74","22502"
"19","W,U,B,R,G","5","Ulalek, Fused Atrocity","mythic","Creature","0.99","0.65","1.07","0.55","0.02","1.32","22291"
"20","B,G","3","Chatterfang, Squirrel General","mythic","Creature","3.99","2.47","5.0","4.51","0.02","0.96","21588"
