"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks"
"1","W,U,B","4","Y'shtola, Night's Blessed","mythic","Creature","0.99","0.97","1.07","2.89","2.23","0.92","23322"
"2","U,B,R","2","Norman Osborn","mythic","Creature","12.99","11.28","14.3","7.87","1.4","0.74","6942"
"3","B,R,G","4","Hearthhull, the Worldseed","mythic","Artifact","0.99","0.85","1.07","1.1","","0.46","11697"
"4","W,U,B,R,G","9","The Ur-Dragon","mythic","Creature","29.99","32.53","21.46","28.3","0.02","1.97","40296"
"5","R,W,B","6","Edgar Markov","mythic","Creature","27.99","20.0","20.74","20.08","1.06","2.05","38741"
"6","U,B,R","5","Kefka, Court Mage","mythic","Creature","8.99","7.82","8.58","5.58","0.03","1.22","14938"
"7","B,G,U","4","Teval, the Balanced Scale","mythic","Creature","5.99","7.22","6.43","4.23","","0.6","19484"
"8","U,R","3","Vivi Ornitier","mythic","Creature","27.99","35.2","39.35","27.56","4.78","2.81","20088"
"9","R,G,W","5","Cloud, Ex-SOLDIER","mythic","Creature","0.99","0.81","1.07","1.01","1.32","0.7","14258"
"10","G,W,U","4","Ms. Bumbleflower","mythic","Creature","0.99","0.77","1.42","4.25","","0.81","21577"
"11","B","3","Sephiroth, Fabled SOLDIER","mythic","Creature","39.99","35.0","46.51","36.35","2.21","1.43","14932"
"12","R,G,W","5","Pantlaza, Sun-Favored","mythic","Creature","0.99","0.7","1.07","2.21","0.33","0.84","29989"
"13","U,B,R","6","Sauron, the Dark Lord","mythic","Creature","9.99","7.37","10.01","7.4","0.02","1.15","29299"
"14","R,W,B","4","Kaalia of the Vast","mythic","Creature","2.49","1.5","1.42","1.85","0.02","1.19","30815"
"15","W,U,B","4","Jin Sakai, Ghost of Tsushima","mythic","Creature","","","","","","0","2947"
"16","R","4","Krenko, Mob Boss","rare","Creature","0.99","1.0","1.07","0.71","0.02","1.17","32772"
"17","U,B","3","Yuriko, the Tiger's Shadow","rare","Creature","2.79","1.86","2.86","1.54","1.79","2.15","28871"
"18","G,W,U,B","4","Atraxa, Praetors' Voice","mythic","Creature","22.99","20.0","20.74","12.76","0.12","1.72","37787"
"19","U,B,R","5","Nekusar, the Mindrazer","rare","Creature","3.49","2.1","3.21","0.77","0.03","1.24","24508"
