"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"1","W,U,B,R,G","9","The Ur-Dragon","mythic","Creature","29.99","35","21.39","29.14","0.03","1.9667221297836939","39975"
"2","R,W,B","6","Edgar Markov","mythic","Creature","27.99","19.33","22.81","21.63","1.06","2.0457875457875456","38346"
"3","G,W,U,B","4","Atraxa, Praetors' Voice","mythic","Creature","23.99","19.99","20.67","13.7","0.12","1.722789115646258","37668"
"4","R","4","Krenko, Mob Boss","rare","Creature","1.29","1","1.42","0.68","0.02","1.1744505494505486","32492"
"5","R,W,B","4","Kaalia of the Vast","mythic","Creature","2.79","1.57","2.13","1.88","0.02","1.1871559633027513","30574"
"6","R,G,W","5","Pantlaza, Sun-Favored","mythic","Creature","0.99","0.77","1.06","1.67","0.3","0.8370786516853933","29615"
"7","U,B,R","6","Sauron, the Dark Lord","mythic","Creature","9.99","7.4","9.98","7.9","0.02","1.1549815498154992","29100"
"8","U,B","3","Yuriko, the Tiger's Shadow","rare","Creature","2.79","1.65","2.85","1.69","1.83","2.1452420701168586","28658"
"9","B,G","4","Lathril, Blade of the Elves","rare","Creature","0.49","0.38","0.35","0.38","0.02","0.9107806691449815","27965"
"10","W,U,B,R,G","5","Kenrith, the Returned King","mythic","Creature","0.99","1.07","1.06","0.77","0.02","1.0920000000000005","26741"
"11","W","2","Giada, Font of Hope","rare","Creature","0.99","0.89","1.06","0.83","0.02","0.4598930481283423","25786"
"12","W,U,B,R,G","5","Jodah, the Unifier","mythic","Creature","2.79","1.98","2.85","1.52","0.02","1.9393346379647758","25621"
"13","G,U,R","6","Miirym, Sentinel Wyrm","rare","Creature","4.99","3.3","4.98","4.51","10.01","1.784844384303112","25576"
"14","B,G,U","4","The Wise Mothman","mythic","Creature","0.99","0.79","1.06","8.55","undefined","1.0082644628099173","24843"
"15","U,B,R","5","Nekusar, the Mindrazer","rare","Creature","3.49","2.35","3.2","0.8","0.02","1.242063492063493","24336"
"16","R,W,B","3","Isshin, Two Heavens as One","rare","Creature","4.99","3","4.27","3.94","0.02","0.6521739130434784","23978"
"17","W,U,B","4","Y'shtola, Night's Blessed","mythic","Creature","0.99","1.01","1.42","1.64","2.35","0.9212598425196851","22595"
"18","G,U","4","Hakbal of the Surging Soul","mythic","Creature","0.99","0.35","1.06","0.64","undefined","0.7395833333333331","22212"
"19","W,U,B,R,G","5","Ulalek, Fused Atrocity","mythic","Creature","0.99","0.57","1.06","0.43","0.03","1.320328542094455","22005"
"20","R,G,W","8","Gishath, Sun's Avatar","mythic","Creature","5.99","5.28","5.69","3.29","0.02","0.9307228915662651","21515"
"21","B,G","3","Chatterfang, Squirrel General","mythic","Creature","5.99","2.61","4.98","4.74","0.02","0.9568965517241378","21439"
"22","W,U,B,R,G","3","Esika, God of the Tree","mythic","Creature","18.99","15.19","20.67","9.04","0.02","1.1523178807947019","21171"
"23","G,W,U","4","Ms. Bumbleflower","mythic","Creature","1.49","0.85","1.42","4.56","undefined","0.8064516129032258","21130"
"24","R,G,W","3","Baylen, the Haymaker","rare","Creature","1.29","0.86","1.42","0.58","0.02","0.9186991869918701","20807"
