"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"1","W,U,B","4","Y'shtola, Night's Blessed","mythic","Creature","0.99","1","1.06","2.76","2.35","0.9212598425196851","1625"
"2","U,B,R","2","Norman Osborn","mythic","Creature","15.99","12.5","12.83","8.24","1.88","0.7446808510638298","1571"
"3","B,R,G","4","Hearthhull, the Worldseed","mythic","Artifact","0.99","0.88","1.06","1.29","undefined","0.46153846153846156","1294"
"4","B,G,U","4","Teval, the Balanced Scale","mythic","Creature","5.99","7.23","6.41","4.68","undefined","0.6049382716049383","1131"
"5","R,W,B","6","Edgar Markov","mythic","Creature","27.99","19.33","22.81","21.63","1.06","2.0457875457875456","1115"
"6","U,B,R","5","Kefka, Court Mage","mythic","Creature","7.99","7.79","8.55","5.46","0.03","1.223214285714286","1115"
"7","R,G,W","5","Cloud, Ex-SOLDIER","mythic","Creature","0.99","0.82","1.06","1.08","1.32","0.7021276595744682","1045"
"8","W,U,B,R,G","9","The Ur-Dragon","mythic","Creature","29.99","35","21.39","29.14","0.03","1.9667221297836939","1038"
"9","U,R","3","Vivi Ornitier","mythic","Creature","39.99","35","39.21","28.87","4.46","2.807486631016043","1016"
"10","B","3","Sephiroth, Fabled SOLDIER","mythic","Creature","42.99","35.32","42.78","36.94","2.22","1.4278350515463911","1013"
"11","G,W,U","4","Ms. Bumbleflower","mythic","Creature","0.99","0.85","1.42","4.58","1","0.8064516129032258","979"
"12","U,B,R","5","Nekusar, the Mindrazer","rare","Creature","3.49","2.35","3.2","0.8","0.02","1.242063492063493","920"
"13","W,U,B,R,G","5","Cosmic Spider-Man","mythic","Creature","7.99","8.24","9.98","2.67","0.35","1.2282608695652169","903"
"14","W,U,B","4","Jin Sakai, Ghost of Tsushima","mythic","Creature","undefined","undefined","undefined","undefined","undefined","0","896"
"15","R,G,W","5","Pantlaza, Sun-Favored","mythic","Creature","0.99","0.75","1.06","1.67","0.3","0.8370786516853933","894"
"16","R,W,B","4","Kaalia of the Vast","mythic","Creature","2.79","1.57","2.13","1.88","0.02","1.1871559633027513","854"
"17","U,B,R","6","Sauron, the Dark Lord","mythic","Creature","9.99","7.4","9.98","7.9","0.02","1.1549815498154992","842"
"18","R","4","Krenko, Mob Boss","rare","Creature","1.29","1.04","1.06","0.68","0.02","1.1744505494505486","828"
"19","B,R,G","3","Eddie Brock","mythic","Creature","8.99","7.45","10.69","5.49","0.94","0.5523809523809524","828"
"20","G,W,U,B","4","Atraxa, Praetors' Voice","mythic","Creature","23.99","19.87","20.65","13.63","0.15","1.722789115646258","820"
"21","W,U,B,R,G","5","Jodah, the Unifier","mythic","Creature","2.79","1.98","2.85","1.52","0.02","1.9393346379647758","812"
"22","B,R","4","Valgavoth, Harrower of Souls","mythic","Creature","14.99","10.77","17.11","17.53","0.24","0.7624999999999998","755"
"23","W","2","Giada, Font of Hope","rare","Creature","0.99","0.89","1.06","0.83","0.02","0.4598930481283423","743"
"24","B,G,U","4","The Wise Mothman","mythic","Creature","0.99","0.82","1.06","8.57","undefined","1.0082644628099173","740"
"25","B,G","4","Lathril, Blade of the Elves","rare","Creature","0.49","0.4","0.35","0.34","0.02","0.9107806691449815","731"
"26","G,W,U","3","Tidus, Yuna's Guardian","mythic","Creature","0.99","0.66","1.06","1.6","1.08","0.45360824742268024","706"
"27","U,R,W","3","Kilo, Apogee Mind","mythic","Creature","0.99","1.37","1.06","1.11","undefined","0.39215686274509803","695"
"28","U,B","3","Yuriko, the Tiger's Shadow","rare","Creature","2.79","1.65","2.85","1.69","1.83","2.1452420701168586","691"
"29","R,W,B","3","Terra, Herald of Hope","mythic","Creature","0.99","0.48","1.06","0.88","1.55","0.46808510638297873","682"
"30","W","5","Anti-Venom, Horrifying Healer","mythic","Creature","15.99","12.7","15.68","5.33","1.15","1.0099999999999998","674"
"31","B,G","3","Chatterfang, Squirrel General","mythic","Creature","4.49","2.49","4.98","4.81","0.02","0.9568965517241378","651"
"32","R,W,B","3","Isshin, Two Heavens as One","rare","Creature","4.99","3","4.27","3.94","0.02","0.6521739130434784","643"
"33","W,B","2","Frodo, Adventurous Hobbit // Sam, Loyal Attendant","mythic","Creature","0.99","0.35","0.71","0.4","1.2","0.4155844155844156","638"
"34","R,W","2","Ragost, Deft Gastronaut","rare","Creature","0.49","0.54","0.53","0.11","0.02","0.34579439252336447","633"
"35","B,G,U","3","Glarb, Calamity's Augur","mythic","Creature","4.99","4.05","4.98","4.08","0.06","0.3636363636363637","628"
"36","W,U,B,R,G","5","Kenrith, the Returned King","mythic","Creature","0.99","1.07","1.06","0.77","0.02","1.0920000000000005","623"
"37","B,G,U","6","Muldrotha, the Gravetide","mythic","Creature","3.49","3.5","3.2","2.69","0.02","0.903921568627451","619"
"38","R,W,B","4","Caesar, Legion's Emperor","mythic","Creature","3.99","2.8","4.27","7.83","undefined","0.4824561403508771","612"
"39","W,U,B,R,G","3","Terra, Magical Adept","mythic","Creature","4.99","4.25","4.98","5.09","0.21","0.5535714285714285","610"
"40","G,U","4","Hakbal of the Surging Soul","mythic","Creature","0.99","0.35","1.06","0.71","undefined","0.7395833333333331","607"
"41","W,U,B,R,G","2","The Wandering Minstrel","rare","Creature","0.49","0.43","0.35","0.39","0.02","0.5544554455445545","600"
"42","R,W,B","3","Zurgo Stormrender","mythic","Creature","3.99","4.49","4.27","5.49","undefined","0.2777777777777778","599"
"43","G,U,R","7","Ureni of the Unwritten","mythic","Creature","19.99","18.47","22.1","14.78","undefined","0.8527607361963189","592"
"44","B,R","4","Kuja, Genome Sorcerer","rare","Creature","1.29","1.41","1.42","0.94","0.02","0.6771653543307085","589"
"45","G,U,R","6","Miirym, Sentinel Wyrm","rare","Creature","4.99","3.22","4.27","3.88","9.81","1.784844384303112","586"
"46","R,G,W","3","Baylen, the Haymaker","rare","Creature","1.29","0.77","1.42","0.59","0.02","0.9186991869918701","581"
"47","R","5","Jaws, Relentless Predator","mythic","Creature","undefined","59.99","undefined","undefined","undefined","0","579"
"48","W,U,B","2","Hashaton, Scarab's Fist","mythic","Creature","0.99","1.21","1.06","1.31","3.2","0.6736111111111112","573"
"49","R,G","3","Bello, Bard of the Brambles","mythic","Creature","1.49","1.32","1.42","6.81","2","0.6","572"
"50","W,U,B,R,G","5","Ulalek, Fused Atrocity","mythic","Creature","0.99","0.57","1.06","0.43","0.03","1.320328542094455","548"
"51","B,R,G","5","Korvold, Fae-Cursed King","mythic","Creature","1.79","1.24","1.78","2.26","0.02","1.6494156928213697","546"
"52","U,B","4","Wilhelt, the Rotcleaver","mythic","Creature","8.99","8.46","9.26","0.57","3.63","0.5185185185185185","545"
"53","W,B,G","4","The Necrobloom","rare","Creature","0.49","0.36","0.53","0.2","0.02","0.6494845360824741","536"
"54","G,U","2","Kinnan, Bonder Prodigy","mythic","Creature","16.99","13.26","17.82","8.77","0.03","2.1463087248322186","534"
"55","G,U,R","3","Animar, Soul of Elements","mythic","Creature","13.99","11.27","12.12","8.69","0.07","1.0454545454545454","524"
"56","U,R","3","Atreus, Impulsive Son // Kratos, Stoic Father","mythic","Creature","undefined","undefined","undefined","undefined","undefined","0","512"
"57","W,U","2","Hope Estheim","rare","Creature","0.49","0.49","0.53","0.26","0.02","0.7567567567567566","509"
"58","R,G","7","Etali, Primal Conqueror","rare","Creature","20.99","18.8","21.39","12.15","0.02","1.6455172413793104","507"
"59","U,B","5","Captain N'ghathrod","mythic","Creature","7.99","8.26","7.12","0.32","3.03","0.6000000000000002","506"
"60","B,R,G","3","Henzie ""Toolbox"" Torre","mythic","Creature","0.99","0.59","1.06","0.06","4.44","0.6875","495"
"61","U,R,W","4","Sonic the Hedgehog","mythic","Creature","2.99","3.5","3.56","1.88","undefined","0.8214285714285714","490"
"62","G,W,U","2","Peter Parker","mythic","Creature","8.99","8.05","9.98","4.67","1.44","0.6923076923076922","489"
"63","W,B","4","Teysa Karlov","rare","Creature","2.49","1.29","2.49","0.77","0.02","0.534031413612566","486"
"64","W,U,B,R,G","3","Sisay, Weatherlight Captain","rare","Creature","1.79","1.99","1.78","1.17","0.02","0.9832089552238806","484"
"65","U,R","5","Kraum, Ludevic's Opus // Tymna the Weaver","rare","Creature","7.49","5.39","6.41","2.86","0.47","0.6699999999999996","481"
"66","W,U,B,R","4","Breya, Etherium Shaper","mythic","Creature","0.99","0.5","0.71","0.44","0.02","0.23529411764705882","480"
"67","G,W,U","4","Choco, Seeker of Paradise","rare","Creature","0.49","0.75","0.35","0.49","0.02","0.43157894736842106","480"
"68","B","7","K'rrik, Son of Yawgmoth","rare","Creature","1.79","0.89","1.42","0.55","0.02","1.2813333333333332","468"
"69","B,G","5","Ygra, Eater of All","mythic","Creature","10.99","7.49","10.69","5.87","0.43","0.9285714285714286","467"
"70","B,R","4","Shadow the Hedgehog","mythic","Creature","7.99","6","7.12","6.06","undefined","1.019230769230769","465"
"71","W,B,G","5","Betor, Ancestor's Voice","mythic","Creature","1.49","2.61","2.13","2.31","undefined","0.37931034482758635","461"
"72","W,U,B","6","Oloro, Ageless Ascetic","mythic","Creature","11.99","13.73","12.83","10.19","0.03","1.138636363636365","457"
"73","R,G,W,U","4","Aragorn, the Uniter","mythic","Creature","5.49","4.79","6.41","4.95","0.02","0.7543859649122807","455"
"74","U,R","3","Ghyrson Starn, Kelermorph","rare","Creature","42.99","36.78","42.78","26.02","10.05","1.1089494163424138","452"
"75","G,W,U","3","Helga, Skittish Seer","mythic","Creature","4.49","3.6","4.98","2.47","0.23","0.27586206896551724","450"
"76","B,G","4","Meren of Clan Nel Toth","mythic","Creature","1.49","1.13","1.78","0.7","1.39","0.7395209580838322","448"
"77","U,B","4","Alela, Cunning Conqueror","mythic","Creature","10.99","8.06","11.4","4.88","3.07","0.8035714285714286","447"
"78","U,B","5","Umbris, Fear Manifest","mythic","Creature","14.99","9.98","11.4","5.5","0.2","0.14285714285714285","445"
"79","U,R,W","3","Inspirit, Flagship Vessel","mythic","Artifact","0.99","0.79","1.06","0.74","2","0.4411764705882353","441"
"80","W,U,B","5","Marneus Calgar","mythic","Creature","10.99","11.72","11.4","3.72","1.05","0.8688524590163934","440"
"81","R,G,W","8","Gishath, Sun's Avatar","mythic","Creature","5.49","5.18","5.7","3.28","0.02","0.9307228915662651","435"
"82","W,B","7","Mister Negative","mythic","Creature","3.49","2","2.85","1.29","0.67","0.819047619047619","435"
"83","W,U,B,R,G","3","Esika, God of the Tree","mythic","Creature","18.99","15.19","20.67","9.04","0.02","1.1523178807947019","433"
"84","G,U,R","3","Flubs, the Fool","mythic","Creature","2.29","2.64","2.13","0.57","5.11","0.5555555555555556","433"
"85","U","4","Urza, Lord High Artificer","mythic","Creature","16.99","13.83","17.11","9.47","0.36","2.3114543114543133","431"
"86","","6","Zhulodok, Void Gorger","mythic","Creature","32.99","32.28","35.65","28.06","3.72","1.3677758318739053","424"
"87","W,U,B,R,G","5","The First Sliver","mythic","Creature","32.99","29.79","35.65","19.44","0.02","1.66078431372549","421"
"88","R,W,B","3","Mr. House, President and CEO","mythic","Creature","0.99","0.6","1.06","1.63","2.42","0.8846153846153846","419"
"89","R,G,W","5","Voja, Jaws of the Conclave","mythic","Creature","10.99","8.51","9.26","undefined","undefined","1.6849593495934956","417"
"90","R,W","2","Arabella, Abandoned Doll","uncommon","Creature","0.59","0.39","0.71","0.31","0.03","0.5454545454545453","415"
"91","R,G,W","4","Rin and Seri, Inseparable","mythic","Creature","12.99","14.07","35.65","4.95","0.02","0.5","414"
"92","W,U","4","Shorikai, Genesis Engine","mythic","Artifact","3.99","3","4.27","2.98","6.43","0.5736040609137057","410"
"93","U,B,R","5","Dr. Eggman","mythic","Creature","2.99","2","3.56","1.31","undefined","0.7087378640776699","405"
"94","R","2","Magda, Brazen Outlaw","rare","Creature","2.29","1.57","1.42","0.78","0.02","0.8233532934131736","402"
"95","G","2","Tifa Lockhart","rare","Creature","3.49","4.03","4.27","3.74","0.15","1.0990099009900995","402"
"96","G,U","4","Zimone, Mystery Unraveler","mythic","Creature","0.99","0.49","0.71","0.54","undefined","0.36","400"
"97","W,U,B","4","Sidar Jabari of Zhalfir","mythic","Creature","0.99","0.5","0.71","0.36","2.03","0.6301652892561981","400"
"98","B,G,U","4","Zaxara, the Exemplary","mythic","Creature","0.99","1.17","1.06","0.55","3.35","0.4117647058823529","400"
"99","W,B,G","4","Felothar the Steadfast","mythic","Creature","0.99","0.9","1.06","0.94","undefined","0.3274336283185841","399"
"100","R,W,B","4","Celes, Rune Knight","mythic","Creature","0.99","0.49","1.06","0.85","1.2","0.2909090909090909","399"
"101","G,W,U,B","7","Atraxa, Grand Unifier","mythic","Creature","17.99","12.53","16.39","15.35","11.97","1.5545286506469504","395"
"102","U,R,W","3","Zinnia, Valley's Voice","mythic","Creature","0.99","0.35","0.71","0.75","undefined","0.7333333333333333","391"
"103","R,G,W","4","Atla Palani, Nest Tender","mythic","Creature","0.79","0.95","0.71","0.42","0.23","0.5517241379310345","390"
"104","W,U,B","4","Alela, Artful Provocateur","mythic","Creature","0.99","0.49","0.71","0.31","0.02","0.4999999999999998","388"
"105","G,U,R","3","Eshki, Temur's Roar","mythic","Creature","1.49","1.4","1.42","1.83","undefined","0.4757281553398059","387"
"106","G,U,R","5","Xyris, the Writhing Storm","mythic","Creature","0.99","1.19","1.06","0.42","0.8","0.5000000000000001","386"
"107","W,B","3","Eriette of the Charmed Apple","mythic","Creature","2.79","1.01","2.49","1.75","0.03","0.4897959183673469","385"
"108","R,G,W,U","4","Omnath, Locus of Creation","mythic","Creature","2.99","3.31","2.85","2.89","0.71","1.0219298245614037","384"
"109","G,U","5","Aloy, Savior of Meridian","mythic","Creature","undefined","undefined","undefined","undefined","undefined","0","383"
"110","B,G,U","4","Kotis, the Fangkeeper","rare","Creature","0.49","0.37","0.35","0.2","0.02","0.8392857142857141","380"
"111","R,G,W","2","Miles Morales","mythic","Creature","9.49","7.35","10.69","4.21","0.66","0.8837209302325579","379"
"112","R","4","Tannuk, Steadfast Second","mythic","Creature","4.49","4.69","4.98","3.59","0.06","0.6730769230769231","378"
"113","R,G","3","Tannuk, Memorial Ensign","uncommon","Creature","0.69","0.32","0.71","0.31","0.03","0.3076923076923077","373"
"114","G,U","6","Aesi, Tyrant of Gyre Strait","mythic","Creature","11.99","9.78","17.82","11.04","18.61","1.126162018592299","373"
"115","W,U,B,R,G","5","Tom Bombadil","mythic","Creature","4.49","3.44","4.27","3.27","0.02","0.42857142857142855","373"
"116","U,R,W","2","Gwen Stacy","mythic","Creature","5.49","4.5","5.7","2.7","0.8","0.3944954128440367","372"
"117","W,U,B","6","Urza, Chief Artificer","mythic","Creature","0.99","1.3","1.06","1.29","2.34","0.6896551724137933","367"
"118","W,U,B,R,G","2","Ezio Auditore da Firenze","mythic","Creature","6.99","3.81","6.41","6.32","0.02","0.6153846153846155","363"
"119","G,W,U","4","Arcades, the Strategist","mythic","Creature","1.99","2.15","1.78","1.47","0.02","0.8235294117647058","361"
"120","G,W,U","5","Galadriel, Light of Valinor","mythic","Creature","22.99","14.31","24.24","13.76","1.12","0.5633802816901409","359"
"121","U,R,W","5","Éowyn, Shieldmaiden","mythic","Creature","0.99","0.38","1.06","0.24","1.23","0.18518518518518517","354"
"122","R,G,W","4","Toph, the First Metalbender","rare","Creature","0.99","21","undefined","19.7","undefined","0","353"
"123","U,R,W","4","Kykar, Wind's Fury","rare","Creature","0.49","0.45","0.53","0.3","0.02","0.5660377358490566","352"
"124","R,W","3","Lightning, Army of One","mythic","Creature","12.99","13","13.54","12.03","0.13","0.7857142857142857","352"
"125","U,B,R","6","Be'lakor, the Dark Master","mythic","Creature","2.49","2.92","2.49","4.73","undefined","0.23809523809523808","351"
"126","W,U","4","Brago, King Eternal","rare","Creature","3.49","2.49","2.85","1.72","0.02","0.9805555555555551","348"
"127","R,W,B","4","Queen Marchesa","rare","Creature","0.99","0.52","1.06","0.41","1.59","0.3655913978494624","344"
"128","G,W","2","Sythis, Harvest's Hand","rare","Creature","3.49","3.03","2.85","2.19","0.02","0.9657794676806084","335"
"129","U,B,R","4","Marchesa, the Black Rose","rare","Creature","1.49","1.35","1.42","0.78","0.02","0.6964285714285714","334"
"130","U,B,R","5","Inalla, Archmage Ritualist","mythic","Creature","2.49","3.58","2.49","1.39","1.27","0.9333333333333333","332"
"131","U","4","Eluge, the Shoreless Sea","mythic","Creature","4.99","2.37","5.7","1.85","0.02","0.7439024390243902","331"
"132","G,U","3","Omo, Queen of Vesuva","mythic","Creature","0.99","0.3","1.06","0.33","0.03","0.42857142857142855","330"
"133","B,R,G","5","Szarel, Genesis Shepherd","mythic","Creature","0.99","0.51","0.71","0.67","8.15","0.3025210084033615","330"
"134","W,U,B,R,G","5","Infinite Guideline Station","rare","Artifact","0.49","0.32","0.35","0.12","0.02","0.21428571428571427","327"
"135","R,G,W","3","Rocco, Street Chef","rare","Creature","0.49","0.42","0.53","0.24","0.02","0.05","327"
"136","B,R","4","Deadpool, Trading Card","mythic","Creature","18.99","17.77","18.53","16.37","undefined","1.9012345679012346","324"
"137","U,B","3","Satoru Umezawa","rare","Creature","0.79","0.5","0.53","0.25","0.02","0.8","323"
"138","U,B","2","Golbez, Crystal Collector","rare","Creature","0.49","0.5","0.53","0.37","0.02","0.14130434782608695","321"
"139","U,R,W","4","Satya, Aetherflux Genius","mythic","Creature","0.99","0.26","0.71","0.16","0.02","0.36363636363636365","321"
"140","W,U","2","Mendicant Core, Guidelight","rare","Creature","1.49","1.18","1.42","0.41","0.02","0.4578313253012048","319"
"141","U,B","5","Lord of the Nazgûl","rare","Creature","2.49","1.29","2.49","1.98","2.42","0.3917525773195876","317"
"142","W,U,B,R,G","3","Najeela, the Blade-Blossom","mythic","Creature","9.49","9.83","7.12","3.42","0.39","1.2899786780383804","315"
"143","R","3","Kratos, God of War","mythic","Creature","undefined","undefined","undefined","undefined","undefined","0","315"
"144","W,U,B","4","Aminatou, Veil Piercer","mythic","Creature","0.99","0.5","1.06","0.56","undefined","0.43478260869565216","311"
"145","W,U,B,R,G","4","Go-Shintai of Life's Origin","mythic","Creature","4.99","5","4.98","5.43","14.64","0.5549132947976877","309"
"146","B","5","Gwenom, Remorseless","mythic","Creature","21.99","14.74","17.82","8.65","1.05","0.9673913043478263","309"
"147","U,R,W","3","Captain America, First Avenger","mythic","Creature","44.99","47.78","46.34","27.22","undefined","0.8962264150943396","306"
"148","G,W,U,B","2","Thrasios, Triton Hero // Tymna the Weaver","rare","Creature","22.99","20.52","19.96","13.88","1.54","1.343648208469055","305"
"149","U,B","5","The Scarab God","mythic","Creature","8.99","6.77","9.26","5.28","0.02","0.755952380952381","305"
"150","B,R","4","Prosper, Tome-Bound","mythic","Creature","7.99","6.21","8.55","10.28","7.72","0.8202054794520551","304"
"151","U,R","6","Niv-Mizzet, Parun","rare","Creature","5.49","4.03","5.7","1.3","0.02","1.2683246073298424","304"
"152","R,W","4","Winota, Joiner of Forces","mythic","Creature","4.99","4.93","4.98","2.21","0.12","1.848659003831418","304"
"153","W,U,B","4","Zur the Enchanter","rare","Creature","1.49","0.54","1.06","0.37","0.02","1.1627486437613022","302"
"154","W,U,B","3","Sefris of the Hidden Ways","mythic","Creature","0.99","0.61","1.42","0.43","5.92","0.47058823529411764","301"
"155","W,U,B","5","Temmet, Naktamun's Will","mythic","Creature","0.99","0.5","1.06","0.39","undefined","0.3018867924528302","300"
"156","W,U","4","Niko, Light of Hope","mythic","Creature","0.99","0.49","1.06","0.25","0.02","0.2584269662921349","298"
"157","B,R,G","5","Disa the Restless","mythic","Creature","0.99","0.25","0.71","0.23","0.02","0.5238095238095238","296"
"158","W,B","5","Liesa, Shroud of Dusk","rare","Creature","0.99","0.74","1.06","0.52","4.2","0.7988165680473372","295"
"159","G","2","Fynn, the Fangbearer","uncommon","Creature","0.35","0.25","0.21","0.11","0.03","1.15","294"
"160","G,U,R","0","Rograkh, Son of Rohgahh // Thrasios, Triton Hero","uncommon","Creature","2.49","1.36","2.49","1.19","1.44","0.6612021857923498","293"
"161","W,U,B,R,G","3","Urtet, Remnant of Memnarch","mythic","Creature","2.99","2.18","2.49","1.97","8.8","0.4666666666666667","291"
"162","U,B,R","4","Obeka, Splitter of Seconds","rare","Creature","0.49","0.3","0.35","0.27","0.02","0.6129032258064518","290"
"163","R,W,B","4","Dihada, Binder of Wills","mythic","Planeswalker","16.99","16.95","17.82","11.87","5.41","0.6785714285714285","289"
"164","W,B,G","5","Anikthea, Hand of Erebos","mythic","Creature","4.49","5.28","4.98","3.16","1.69","0.38596491228070173","289"
"165","W,U,B,R,G","10","Reaper King","rare","Creature","11.99","26.53","9.26","2.55","0.02","0.9047619047619048","285"
"166","U,R,W","4","Shiko and Narset, Unified","mythic","Creature","0.99","0.54","1.06","0.82","undefined","0.29245283018867924","285"
"167","W,U,B,R,G","5","Omnath, Locus of All","rare","Creature","0.49","0.43","0.35","0.13","0.02","0.5294117647058825","283"
"168","B,R","4","Ob Nixilis, Captive Kingpin","mythic","Creature","10.99","7.5","9.26","9.31","0.02","0.7636363636363633","281"
"169","R,G","3","Tovolar, Dire Overlord","rare","Creature","0.99","0.69","1.06","0.5","0.02","0.375","280"
"170","B,G","6","Shelob, Child of Ungoliant","rare","Creature","3.49","4.81","3.2","0.54","0.02","0.4","279"
"171","W,U,B","6","Tivit, Seller of Secrets","mythic","Creature","3.49","3.02","3.56","3.06","13.99","1.2500000000000007","275"
"172","U,B","4","Vren, the Relentless","rare","Creature","0.69","0.5","0.71","0.37","0.02","0.5","275"
"173","G,U,R","4","Magus Lucea Kane","mythic","Creature","2.99","1.94","3.2","3.98","undefined","0.5555555555555556","275"
"174","G,W,U","4","Yuna, Grand Summoner","mythic","Creature","0.99","0.83","1.06","1.57","1.61","0.3928571428571429","274"
"175","B,G,U","5","Yarok, the Desecrated","mythic","Creature","4.99","3.27","4.98","1.65","0.02","0.7236842105263158","273"
"176","W,U,B,R,G","5","Marina Vendrell","rare","Creature","0.49","0.26","0.35","0.14","0.02","0.1263157894736841","272"
"177","W,U,B","4","Varina, Lich Queen","rare","Creature","4.99","3.97","4.27","0.34","0.23","0.4444444444444444","271"
"178","U,B,R","4","Wick, the Whorled Mind","rare","Creature","0.49","0.25","0.35","0.19","0.02","0.47058823529411764","269"
"179","U,B,R","5","Edward Kenway","mythic","Creature","8.49","5.99","9.26","8.16","0.02","0.4","269"
"180","B,G","4","Hazel of the Rootbloom","mythic","Creature","0.99","1.52","1.06","5.94","undefined","0.31111111111111117","268"
"181","W,U,B,R,G","5","Sliver Overlord","rare","Creature","32.99","40","42.78","21.59","0.02","1.270000000000001","267"
"182","W","2","Light-Paws, Emperor's Voice","rare","Creature","2.49","0.99","2.49","1.18","0.06","1.1727941176470584","264"
"183","U,B,R","0","Rograkh, Son of Rohgahh // Silas Renn, Seeker Adept","uncommon","Creature","2.49","1.36","2.49","1.19","1.44","0.6612021857923498","263"
"184","W,U","4","Hylda of the Icy Crown","mythic","Creature","4.49","1.99","3.56","1.4","0.02","0.5789473684210527","263"
"185","W,U,B,R,G","7","Morophon, the Boundless","mythic","Creature","5.99","6.11","6.41","3.54","0.02","0.6666666666666662","261"
"186","U,R","3","Stella Lee, Wild Card","mythic","Creature","4.99","6.75","4.27","2.29","undefined","0.9811320754716986","256"
"187","W,U,B,R,G","7","Tiamat","mythic","Creature","19.99","19.74","19.96","17.8","0.02","0.9565217391304348","255"
"188","W,U,B","3","Raffine, Scheming Seer","mythic","Creature","3.99","2.49","3.2","2.81","0.14","0.3559322033898305","254"
"189","G","6","Lumra, Bellow of the Woods","mythic","Creature","29.99","29.7","28.52","21.5","0.38","0.7119565217391307","251"
"190","W,U,B","4","Noctis, Prince of Lucis","rare","Creature","0.49","0.41","0.35","0.32","0.02","0.4954954954954955","249"
"191","U,R,W","4","Zedruu the Greathearted","mythic","Creature","2.79","2.15","2.49","0.98","0.98","0.9375","248"
"192","B","5","Tergrid, God of Fright","rare","Creature","23.99","18.89","24.95","7.99","0.02","2.8022959183673457","247"
"193","W,U,B,R,G","3","Azlask, the Swelling Scourge","mythic","Creature","0.99","0.4","1.06","0.36","0.03","0.782608695652174","246"
"194","B","4","Sheoldred, the Apocalypse","mythic","Creature","79.99","59.79","78.43","54.33","7.18","2.033163265306124","246"
"195","W,B","3","Clavileño, First of the Blessed","mythic","Creature","0.99","0.41","0.71","0.69","0.17","0.3559322033898305","246"
"196","B","5","Marrow-Gnawer","rare","Creature","12.99","9.33","13.54","0.93","0.02","0.584070796460177","245"
"197","U,B,R","4","Saruman, the White Hand","mythic","Creature","0.99","0.5","1.06","0.56","1.69","0.3008130081300814","245"
"198","U,R,W","3","Elsha, Threefold Master","mythic","Creature","0.99","0.69","1.06","0.67","undefined","0.20175438596491235","243"
"199","B,G","5","Rendmaw, Creaking Nest","mythic","Creature","0.99","0.61","1.06","0.69","undefined","0.3613445378151261","243"
"200","B","2","Tinybones, Bauble Burglar","rare","Creature","2.49","1.5","2.49","0.61","0.02","0.8544303797468354","243"
"201","W,B,G","4","Thalia and The Gitrog Monster","mythic","Creature","4.49","4.71","4.98","2.72","0.03","1.0108892921960093","242"
"202","U,R","4","Captain Howler, Sea Scourge","rare","Creature","0.79","0.35","0.53","0.22","0.02","0.28695652173913044","242"
"203","R,W","3","The Jolly Balloon Man","rare","Creature","0.59","0.61","0.71","0.22","0.02","0.3924731182795699","242"
"204","R,G","3","Wolverine, Best There Is","mythic","Creature","37.99","41","39.21","21.73","undefined","1.0918367346938769","238"
"205","B,G,U","5","Gonti, Canny Acquisitor","mythic","Creature","0.99","0.75","1.06","0.53","5.2","0.5882352941176471","238"
"206","U,R,W","4","Narset, Enlightened Exile","mythic","Creature","11.99","8.39","9.26","7.25","0.02","0.78125","238"
"207","U,B","4","Jon Irenicus, Shattered One","rare","Creature","0.49","0.25","0.35","0.13","3.63","0.782608695652174","237"
"208","R,G","3","Kibo, Uktabi Prince","mythic","Creature","3.49","4.64","4.27","0.86","undefined","0.43478260869565216","236"
"209","U,R","3","Veyran, Voice of Duality","mythic","Creature","7.99","6.19","8.55","3.75","5.88","0.7333333333333336","236"
"210","G","3","Shroofus Sproutsire","rare","Creature","8.99","5.59","9.98","5.66","undefined","0.3","235"
"211","W","2","Cloud, Midgar Mercenary","mythic","Creature","34.99","27.36","32.08","24.73","0.87","0.8513513513513512","233"
"212","W,B,G","4","Tayam, Luminous Enigma","mythic","Creature","0.99","1.12","1.06","1.47","3.24","0.15789473684210525","232"
"213","R","4","Ojer Axonil, Deepest Might","mythic","Creature","21.99","19.1","19.25","12.26","0.61","0.7322834645669294","230"
"214","W,B","4","Squall, SeeD Mercenary","rare","Creature","0.69","1.19","0.53","0.69","0.02","0.3431372549019608","229"
"215","W,B","3","Ketramose, the New Dawn","mythic","Creature","13.99","12.05","14.97","12.8","2.77","0.8461538461538461","228"
